Cottus pollux,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;pollux,
Cottus reinii,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;reinii,
Cottus nozawae,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;nozawae,
Cottus amblystomopsis,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;amblystomopsis,
Cottus hangiongensis,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;hangiongensis,
Cottus czerskii,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;czerskii,
Cottus poecilopus,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;poecilopus,
Cottus gobio,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;gobio,
Cottus cognatus,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;cognatus,
Cottus aleuticus,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;aleuticus,
Leocottus kesslerii,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Leocottus;kesslerii,
Trachidermus fasciatus,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Trachidermus;fasciatus,
Leptocottus armatus,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Leptocottus;armatus,
Myoxocephalus stelleri,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Myoxocephalus;stelleri,
Cololabis saira,Animalia;Chordata;Teleostei;Beloniformes;Scomberesocidae;Cololabis;saira,
Cheilopogon pinnatibarbatus,Animalia;Chordata;Teleostei;Beloniformes;Exocoetidae;Cheilopogon;pinnatibarbatus,
Oryzias celebensis,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;celebensis,
Oryzias curvinotus,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;curvinotus,
Oryzias dancena,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;dancena,
Oryzias hubbsi,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;hubbsi,
Oryzias javanicus,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;javanicus,
Oryzias latipes,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;latipes,
Oryzias luzonensis,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;luzonensis,
Oryzias marmoratus,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;marmoratus,
Oryzias matanensis,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;matanensis,
Oryzias mekongensis,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;mekongensis,
Oryzias minutillus,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;minutillus,
Oryzias nigrimas,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;nigrimas,
Oryzias profundicola,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;profundicola,
Adrianichthys oophorus,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Adrianichthys;oophorus,
Oryzias sarasinorum,Animalia;Chordata;Teleostei;Beloniformes;Adrianichthyidae;Oryzias;sarasinorum,
Fowleria isostigma,Animalia;Chordata;Teleostei;Kurtiformes;Apogonidae;Fowleria;isostigma,
Fowleria variegata,Animalia;Chordata;Teleostei;Kurtiformes;Apogonidae;Fowleria;variegata,
Apogon crassiceps,Animalia;Chordata;Teleostei;Kurtiformes;Apogonidae;Apogon;crassiceps,
Apogon erythrinus,Animalia;Chordata;Teleostei;Kurtiformes;Apogonidae;Apogon;erythrinus,
Nectamia fusca,Animalia;Chordata;Teleostei;Kurtiformes;Apogonidae;Nectamia;fusca,
Apogon semiornatus,Animalia;Chordata;Teleostei;Kurtiformes;Apogonidae;Apogon;semiornatus,
